Suite, Main-Scenario, Sub-Scenario, Test, Parameter, Status, Owner, Bug/Auton, Comments
Test Setup, TestSetup, TestSetup.AddAlien, AddRequiredAlienInServer,  , passed
GMPO Share Suite GMPO_REL_324, Planner Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify planner shared network with custom_planner_share"- "Row_25"- "Share"- "share_test_cases"- "planner_share" , passed
GMPO Share Suite GMPO_REL_324, Planner Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify planner shared network with custom_designer_share"- "Row_29"- "Share"- "share_test_cases"- "planner_share" , passed
GMPO Share Suite GMPO_REL_324, Planner Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify planner shared network with custom_reader_share"- "Row_33"- "Share"- "share_test_cases"- "planner_share" , passed
GMPO Share Suite GMPO_REL_324, Designer Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify designer Share a network with admin-planner-reader-custom_admin-custom_planner-custom_desinger and custom_reader"- "Row_2"- "Share"- "share_test_cases"- "designer_share" , passed
GMPO Share Suite GMPO_REL_324, Designer Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify designer shared network with admin_share"- "Row_8"- "Share"- "share_test_cases"- "designer_share" , passed
GMPO Share Suite GMPO_REL_324, Designer Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify designer shared network with planner_share"- "Row_12"- "Share"- "share_test_cases"- "designer_share" , passed
GMPO Share Suite GMPO_REL_324, Designer Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify designer shared network with reader_share"- "Row_16"- "Share"- "share_test_cases"- "designer_share" , passed
GMPO Share Suite GMPO_REL_324, Designer Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify designer shared network with custom_admin_share"- "Row_20"- "Share"- "share_test_cases"- "designer_share" , passed
GMPO Share Suite GMPO_REL_324, Designer Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify designer shared network with custom_planner_share"- "Row_24"- "Share"- "share_test_cases"- "designer_share" , passed
GMPO Share Suite GMPO_REL_324, Designer Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify designer shared network with custom_designer_share"- "Row_28"- "Share"- "share_test_cases"- "designer_share" , passed
GMPO Share Suite GMPO_REL_324, Custom admin Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Custom Admin Share a network with admin-designer-reader-custom_admin-custom_planner-custom_desinger and custom_reader"- "Row_2"- "Share"- "share_test_cases"- "custom_admin_share" , passed
GMPO Share Suite GMPO_REL_324, Custom admin Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Custom Admin shared network with admin_share"- "Row_8"- "Share"- "share_test_cases"- "custom_admin_share" , passed
GMPO Share Suite GMPO_REL_324, Custom admin Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Custom Admin shared network with designer_share"- "Row_12"- "Share"- "share_test_cases"- "custom_admin_share" , passed
GMPO Share Suite GMPO_REL_324, Custom admin Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Custom Admin shared network with reader_share"- "Row_16"- "Share"- "share_test_cases"- "custom_admin_share" , passed
GMPO Share Suite GMPO_REL_324, Custom admin Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Custom Admin shared network with planner_share"- "Row_20"- "Share"- "share_test_cases"- "custom_admin_share" , passed
GMPO Share Suite GMPO_REL_324, Custom admin Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Custom Admin shared network with custom_planner_share"- "Row_24"- "Share"- "share_test_cases"- "custom_admin_share" , passed
GMPO Share Suite GMPO_REL_324, Custom admin Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Custom Admin shared network with custom_designer_share"- "Row_28"- "Share"- "share_test_cases"- "custom_admin_share" , passed
GMPO Share Suite GMPO_REL_324, Custom planner Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Custom planner Share a network with admin-designer-reader-custom_admin-custom_planner-custom_desinger and custom_reader"- "Row_2"- "Share"- "share_test_cases"- "custom_planner_share" , passed
GMPO Share Suite GMPO_REL_324, Custom planner Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Custom planner shared network with admin_share"- "Row_8"- "Share"- "share_test_cases"- "custom_planner_share" , passed
GMPO Share Suite GMPO_REL_324, Custom planner Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Custom planner shared network with designer_share"- "Row_12"- "Share"- "share_test_cases"- "custom_planner_share" , passed
GMPO Share Suite GMPO_REL_324, Custom planner Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Custom planner shared network with reader_share"- "Row_16"- "Share"- "share_test_cases"- "custom_planner_share" , passed
GMPO Share Suite GMPO_REL_324, Custom planner Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Custom planner shared network with custom_admin_share"- "Row_20"- "Share"- "share_test_cases"- "custom_planner_share" , passed
GMPO Share Suite GMPO_REL_324, Custom planner Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Custom planner shared network with planner_share"- "Row_24"- "Share"- "share_test_cases"- "custom_planner_share" , passed
GMPO Share Suite GMPO_REL_324, Custom planner Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Custom Admin shared network with custom_designer_share"- "Row_28"- "Share"- "share_test_cases"- "custom_planner_share" , passed
GMPO Share Suite GMPO_REL_324, Custom designer Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Custom Design Share a network with admin-designer-reader-custom_admin-custom_planner-custom_desinger and custom_reader"- "Row_2"- "Share"- "share_test_cases"- "custom_designer_share" , passed
GMPO Share Suite GMPO_REL_324, Custom designer Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Custom Design shared network with admin_share"- "Row_8"- "Share"- "share_test_cases"- "custom_designer_share" , passed
GMPO Share Suite GMPO_REL_324, Custom designer Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Custom Design shared network with designer_share"- "Row_12"- "Share"- "share_test_cases"- "custom_designer_share" , passed
GMPO Share Suite GMPO_REL_324, Custom designer Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Custom Design shared network with reader_share"- "Row_16"- "Share"- "share_test_cases"- "custom_designer_share" , passed
GMPO Share Suite GMPO_REL_324, Custom designer Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Custom Design shared network with custom_admin_share"- "Row_20"- "Share"- "share_test_cases"- "custom_designer_share" , passed
GMPO Share Suite GMPO_REL_324, Custom designer Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Custom Design shared network with custom_planner_share"- "Row_24"- "Share"- "share_test_cases"- "custom_designer_share" , passed
GMPO Share Suite GMPO_REL_324, Custom designer Share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Custom Design shared network with planner_share"- "Row_28"- "Share"- "share_test_cases"- "custom_designer_share" , passed
GMPO Share Suite GMPO_REL_324, Group share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Group Share a network with admin-designer-reader-custom_admin-custom_planner-custom_desinger and custom_reader"- "Row_2"- "Share"- "share_test_cases"- "group_share" , passed
GMPO Share Suite GMPO_REL_324, Group share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Group shared network with admin_share"- "Row_8"- "Share"- "share_test_cases"- "group_share" , failed
GMPO Share Suite GMPO_REL_324, Group share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Group shared network with designer_share"- "Row_12"- "Share"- "share_test_cases"- "group_share" , failed
GMPO Share Suite GMPO_REL_324, Group share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Group shared network with custom_admin_share"- "Row_16"- "Share"- "share_test_cases"- "group_share" , failed
GMPO Share Suite GMPO_REL_324, Group share a network , genericTestGenerator.GMPOAuto, Verify,  "Verify Group shared network with custom_planner_share"- "Row_20"- "Share"- "share_test_cases"- "group_share" , failed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ExportReports, Verify_Sites_Report_Export,  "Design Mode" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ExportReports, Verify_Sites_Report_Export,  "Analyze Mode" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ExportReports, Verify_Fibers_Report_Export,  "Design Mode" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ExportReports, Verify_Fibers_Report_Export,  "Analyze Mode" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ExportReports, Verify_BOM_Report_Export_Analyzed_State,  , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ExportReports, Verify_Services_Report_Export,  "Design Mode" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ExportReports, Verify_Services_Report_Export,  "Analyze Mode" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ExportReports, Verify_Waves_Report_Export,  "Design Mode" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ExportReports, Verify_Waves_Report_Export,  "Analyze Mode" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ExportReports, Verify_Messages_Report_Export_Analyzed_State,  , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ExportReports, Download_Template_FileMenu,  , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ShareFeatureGUI, ShareNetwork_Using_Share_Menu_Bar,  , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ShareFeatureGUI, ShareNetwork_Using_File_Share_Menu,  , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ShareFeatureGUI, Verify_Network_Is_Getting_Shared_From_Share_Menu,  , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ShareFeatureGUI, Verify_Network_Is_Getting_Shared_From_File_Menu,  , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ShareFeatureGUI, Verify_Save_Warning_When_Opening_Shared_Network_OnTop_Of_Unsaved_Network,  "Cancel" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ShareFeatureGUI, Verify_Save_Warning_When_Opening_Shared_Network_OnTop_Of_Unsaved_Network,  "Yes" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ShareFeatureGUI, Verify_Save_Warning_When_Opening_Shared_Network_OnTop_Of_Unsaved_Network,  "No" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ShareFeatureGUI, Delete_Shared_Network,  "planner_share" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ShareFeatureGUI, Delete_Shared_Network,  "designer_share" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ShareFeatureGUI, Delete_Shared_Network,  "custom_planner_share" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ShareFeatureGUI, Delete_Shared_Network,  "custom_admin_share" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ShareFeatureGUI, Delete_Shared_Network,  "custom_designer_share" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ShareFeatureGUI, Delete_Shared_Network,  "admin" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ShareFeatureGUI, Verify_Share_Network_Is_Removed_Automaticaly_If_User_Deleted_the_Network,  "planner_share" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ShareFeatureGUI, Verify_Share_Network_Is_Removed_Automaticaly_If_User_Deleted_the_Network,  "designer_share" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ShareFeatureGUI, Verify_Share_Network_Is_Removed_Automaticaly_If_User_Deleted_the_Network,  "custom_planner_share" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ShareFeatureGUI, Verify_Share_Network_Is_Removed_Automaticaly_If_User_Deleted_the_Network,  "custom_admin_share" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ShareFeatureGUI, Verify_Share_Network_Is_Removed_Automaticaly_If_User_Deleted_the_Network,  "custom_designer_share" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ShareFeatureGUI, Verify_Share_Network_Is_Removed_Automaticaly_If_User_Deleted_the_Network,  "admin" , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ShareFeatureGUI, Verify_Warning_Msg_When_User_Moving_Shared_Network_To_Design,  , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ShareFeatureGUI, Verify_Warning_Msg_When_User_Try_To_Analyze_Shared_Network,  , passed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ShareFeatureGUI, VerifyUser_Is_Able_To_Unshare_Network_From_User,  , failed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ShareFeatureGUI, VerifyUser_Is_Able_To_Unshare_Network_From_Group,  , failed
GMPO Share Suite GMPO_REL_324, ShareUsers_and_Groups, shareSuite.ShareFeatureGUI, VerifyUser_Is_Able_To_cancel_The_Share,  , passed
GMPO Share Suite GMPO_REL_324, Update Share network After Save As, genericTestGenerator.GMPOAuto, Verify,  "After Save as user is able to add items into network"- "Row_2"- "Share"- "share_test_cases"- "SaveAs_OnSharedNetwork" , failed
GMPO Share Suite GMPO_REL_324, Update Share network After Save As, genericTestGenerator.GMPOAuto, Verify,  "After Save as user is able to delete items into network"- "Row_13"- "Share"- "share_test_cases"- "SaveAs_OnSharedNetwork" , failed
GMPO Share Suite GMPO_REL_324, Update Share network After Save As, genericTestGenerator.GMPOAuto, Verify,  "After Save as user is able to update items into network"- "Row_21"- "Share"- "share_test_cases"- "SaveAs_OnSharedNetwork" , failed
GMPO Share Suite GMPO_REL_324, Delete User And Network Assignment, shareSuite.DeleteUser_And_AssignNetwork, Verify_Assign_Networks_ToSelf_Warning_Is_Displayed,  , passed
GMPO Share Suite GMPO_REL_324, Delete User And Network Assignment, shareSuite.DeleteUser_And_AssignNetwork, Verify_Networks_Are_Assigned_OnUser_Deletion,  , passed
GMPO Share Suite GMPO_REL_324, Delete User And Network Assignment, shareSuite.DeleteUser_And_AssignNetwork, Verify_User_Deletion_And_Dont_Assign_Networks_ToSelf,  , passed
GMPO Share Suite GMPO_REL_324, Delete User And Network Assignment, shareSuite.DeleteUser_And_AssignNetwork, Verify_User_Is_Deleted,  "Assign" , passed
GMPO Share Suite GMPO_REL_324, Delete User And Network Assignment, shareSuite.DeleteUser_And_AssignNetwork, Verify_User_Is_Deleted,  "AAssign" , passed
2K_Flex suite, 2Kflex user signup, genericTestGenerator.UserSignup, userSignUp,  "Flex2k"- "Flex2k" , passed
2K_Flex suite, 2K Flex Test1, support_2K_Flex.basic_2kFlex, verifyEditedPropertyInExplorer,  "2K-FLEX-NETWORK-NONSSON-ANSI"- "Yes"- "Sites"- "Site-1"- "Evolved Mesh"- "true"- ""- "2K-FLEX-NETWORK-NONSSON-ANSI"- "Site-1-Site-2-Site-4-Site-5" , passed
2K_Flex suite, 2K Flex Test1, support_2K_Flex.basic_2kFlex, verifyEditedPropertyInExplorer,  "2K-FLEX-NETWORK-NONSSON-ANSI"- "Yes"- "Sites"- "Site-1"- "Node Protection"- "Same Shelf"- ""- "2K-FLEX-NETWORK-NONSSON-ANSI"- "Site-1-Site-2-Site-4-Site-5" , passed
2K_Flex suite, 2K Flex Test1, support_2K_Flex.basic_2kFlex, verifyEditedPropertyInExplorer,  "2K-FLEX-NETWORK-NONSSON-ANSI"- "Yes"- "Sites"- "Site-1"- "Mpo16Lc"- "MF-MPO-16LC"- ""- "2K-FLEX-NETWORK-NONSSON-ANSI"- "Site-1-Site-2-Site-4-Site-5" , passed
2K_Flex suite, 2K Flex Test1, support_2K_Flex.basic_2kFlex, verifyEditedPropertyInExplorer,  "2K-FLEX-NETWORK-NONSSON-ANSI"- "Yes"- "Sites"- "Site-1"- "Mpo16ToMpo8"- "MPO16To2MPO8Cable"- ""- "2K-FLEX-NETWORK-NONSSON-ANSI"- "Site-1-Site-2-Site-4-Site-5" , passed
2K_Flex suite, 2K Flex Test1, support_2K_Flex.basic_2kFlex, verifyEditedPropertyInExplorer,  "2K-FLEX-NETWORK-NONSSON-ANSI"- "Yes"- "Sites"- "Site-1"- "Enable NCS"- "true"- ""- "2K-FLEX-NETWORK-NONSSON-ANSI"- "Site-1-Site-2-Site-4-Site-5" , passed
2K_Flex suite, 2K Flex Test1, support_2K_Flex.basic_2kFlex, verifyEditedPropertyInExplorer,  "2K-FLEX-NETWORK-NONSSON-ANSI"- "Yes"- "Sites"- "Site-1"- "Use Payg"- "true"- ""- "2K-FLEX-NETWORK-NONSSON-ANSI"- "Site-1-Site-2-Site-4-Site-5" , passed
2K_Flex suite, 2K Flex Test1, support_2K_Flex.basic_2kFlex, verifyEditedPropertyInExplorer,  "2K-FLEX-NETWORK-NONSSON-ANSI"- "Yes"- "Sites"- "Site-1"- "Connection Verification"- "true"- ""- "2K-FLEX-NETWORK-NONSSON-ANSI"- "Site-1-Site-2-Site-4-Site-5" , passed
2K_Flex suite, 2K Flex Test1, support_2K_Flex.basic_2kFlex, verifyEditedPropertyInExplorer,  "2K-FLEX-NETWORK-NONSSON-ANSI"- "Yes"- "Sites"- "Site-1"- "Chassis Type"- "M6 Chassis"- ""- "2K-FLEX-NETWORK-NONSSON-ANSI"- "Site-1-Site-2-Site-4-Site-5" , passed
2K_Flex suite, 2K Flex Test1, support_2K_Flex.basic_2kFlex, verifyEditedPropertyInExplorer,  "2K-FLEX-NETWORK-NONSSON-ANSI"- "Yes"- "Sites"- "Site-1"- "Power Supply"- "DC40 Power"- ""- "2K-FLEX-NETWORK-NONSSON-ANSI"- "Site-1-Site-2-Site-4-Site-5" , passed
2K_Flex suite, 2K Flex Test1, support_2K_Flex.basic_2kFlex, verifyEditedPropertyInExplorer,  "2K-FLEX-NETWORK-NONSSON-ANSI"- "Yes"- "Sites"- "Site-1"- "Controller Card"- "TNC/TSC"- ""- "2K-FLEX-NETWORK-NONSSON-ANSI"- "Site-1-Site-2-Site-4-Site-5" , passed
2K_Flex suite, 2K Flex Test1, support_2K_Flex.basic_2kFlex, verifyEditedPropertyInExplorer,  "2K-FLEX-NETWORK-NONSSON-ANSI"- "Yes"- "Sites"- "Site-1"- "Redundant Controller Card"- "Yes"- ""- "2K-FLEX-NETWORK-NONSSON-ANSI"- "Site-1-Site-2-Site-4-Site-5" , passed
2K_Flex suite, 2K Flex Test1, support_2K_Flex.basic_2kFlex, verifyEditedPropertyInExplorer,  "2K-FLEX-NETWORK-NONSSON-ANSI"- "Yes"- "Sites"- "Site-1"- "Redundant Power Scheme"- "Yes"- ""- "2K-FLEX-NETWORK-NONSSON-ANSI"- "Site-1-Site-2-Site-4-Site-5" , passed
2K_Flex suite, 2K Flex Test1, support_2K_Flex.basic_2kFlex, verifyEditedPropertyInExplorer,  "2K-FLEX-NETWORK-NONSSON-ANSI"- "Yes"- "Sites"- "Site-1"- "ECU Type"- "ECU"- ""- "2K-FLEX-NETWORK-NONSSON-ANSI"- "Site-1-Site-2-Site-4-Site-5" , passed
2K_Flex suite, 2K Flex Test1, support_2K_Flex.basic_2kFlex, verifyEditedPropertyInExplorer,  "2K-FLEX-NETWORK-NONSSON-ANSI"- "Yes"- "Sites"- "Site-1"- "MF Unit"- "MF-6RU/MF-10RU"- ""- "2K-FLEX-NETWORK-NONSSON-ANSI"- "Site-1-Site-2-Site-4-Site-5" , passed
2K_Flex suite, 2K Flex Test1, support_2K_Flex.basic_2kFlex, verifyEditedPropertyInExplorer,  "2K-FLEX-NETWORK-NONSSON-ANSI"- "Yes"- "Sites"- "Site-1"- "Scalable Upto Degree"- "4"- ""- "2K-FLEX-NETWORK-NONSSON-ANSI"- "Site-1-Site-2-Site-4-Site-5" , passed
